capability_id,semantic_family,architecture,spelling,structural_operation,evidence_level,semantic_correspondence_status,audit_status,c_call_sites,manifest_bindings,immediate_values,active_length_call_count,negative_broadcast_calls,evidence_path,evidence_sha256,isa_correctness_proof
intrinsic:neon:vdupq_n_u32:e770de81aad5da7f,S1-structural-plain,neon,vdupq_n_u32,broadcast,L2-traceable-lowering,not-independently-validated,passed,3,1,,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,e43e6ec9599d72cbfb7078cf66c1a1ba5ae5cfc8a083ad7e7077650dfb052492,no
intrinsic:neon:vext_s8:eb751dd988e480fd,S2-structural-immediate,neon,vext_s8,extract_from_concat,L3-generator-mutation,generator-boundary-validated-only,passed,10,5,2;4,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,7bf14d7e3db3f6db8bca4476ffc8953c1cbc0f53df867c393f86c95a9075a81e,no
intrinsic:neon:vext_u16:7112ac63c1a83aa1,S2-structural-immediate,neon,vext_u16,extract_from_concat,L3-generator-mutation,generator-boundary-validated-only,passed,1,1,2,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,94ef9e0b22a4e640ca5c04186b6879c8cceaf0592f50808bea2b5a81b4a47a0a,no
intrinsic:neon:vext_u8:a53193fb77e55efd,S2-structural-immediate,neon,vext_u8,extract_from_concat,L3-generator-mutation,generator-boundary-validated-only,passed,2,1,2;4,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,38adbf849e31e8f9ee69754969fd71c8663217765f3e5c13c7920110a5f3a814,no
intrinsic:neon:vget_high_f32:ce38d747fe1b6927,S1-structural-plain,neon,vget_high_f32,take_high,L2-traceable-lowering,not-independently-validated,passed,12,12,,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,bc6e45e4f9683084dc71d26d32413efb5a207a5ab41368cfe6f7ea7f347c2da6,no
intrinsic:neon:vget_high_s16:12a5a3bad60c3a3d,S1-structural-plain,neon,vget_high_s16,take_high,L2-traceable-lowering,not-independently-validated,passed,18,5,,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,8cb0cad8dfaa3bc98880d426dd24041f30a25fe3b053b3381edabcebf76da1fe,no
intrinsic:neon:vget_low_f32:8a95cadbc4dbff95,S1-structural-plain,neon,vget_low_f32,take_low,L2-traceable-lowering,not-independently-validated,passed,12,12,,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,ee2f3fee836b4d8a25ce821ca882b1e11811e9d2651fd38afd1f5379662d674c,no
intrinsic:neon:vget_low_s16:b9c032d98567b75a,S1-structural-plain,neon,vget_low_s16,take_low,L2-traceable-lowering,not-independently-validated,passed,18,5,,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,f603bb4b8978681f6f156e2c1d5b4bfed8fb19103c4af7e47553ef70b0d71117,no
intrinsic:neon:vget_low_s8:6573b18e0399459c,S1-structural-plain,neon,vget_low_s8,take_low,L2-traceable-lowering,not-independently-validated,passed,6,2,,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,aca8b55a873465b6de8cdaa1c275749e8c9d39d3df3b20504bfdc5df5fb73d8b,no
intrinsic:neon:vget_low_u16:ab068b01e8f5f85a,S1-structural-plain,neon,vget_low_u16,take_low,L2-traceable-lowering,not-independently-validated,passed,8,1,,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,1c98bfb91b5f210e0afa2c7b20ecc571384104a9575849daac5763b25b71e35e,no
intrinsic:neon:vld1_s8:c4ad6a6e3d1e0929,S1-structural-plain,neon,vld1_s8,load,L2-traceable-lowering,not-independently-validated,passed,18,6,,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,08d93ab12768152227b2d96fb729fc263511d7209498a86c5b73bdbf2426b05a,no
intrinsic:neon:vld1_u8:0b88ead1da17cebc,S1-structural-plain,neon,vld1_u8,load,L2-traceable-lowering,not-independently-validated,passed,6,2,,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,4ad109ff1df6ea1a4fd9bd25af17dbaed184d8d84be601139e8e0fe1e9879a3b,no
intrinsic:neon:vld1q_dup_f32:6ed02bd5acdc88a3,S1-structural-plain,neon,vld1q_dup_f32,load-broadcast,L2-traceable-lowering,not-independently-validated,passed,1,1,,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,ab617c2ce24c7b4d3b24b07abfc28744bfcb6f9c5032c55285b9eacdc0188752,no
intrinsic:neon:vld1q_f32:2cd0ee0c55f9163a,S1-structural-plain,neon,vld1q_f32,load,L2-traceable-lowering,not-independently-validated,passed,36,11,,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,3bb27435fea913e9c2538976aa8a8c617865354e6c0b3090e5bea4fe0b9ab5a3,no
intrinsic:neon:vld1q_s8:06bd699a28fcbc4a,S1-structural-plain,neon,vld1q_s8,load,L2-traceable-lowering,not-independently-validated,passed,4,1,,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,4836cc056035ef322a4e1583673a3ae3ba540dfc047d1d325fb831fa26decb01,no
intrinsic:neon:vmovq_n_s16:5fd5ecac3c8184d7,S1-structural-plain,neon,vmovq_n_s16,broadcast,L2-traceable-lowering,not-independently-validated,passed,2,1,,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,ae30eee65ad7bc107b6c3f87a0aae508dfdcb348ae80a94b7b9d28b29fa9d80d,no
intrinsic:neon:vmovq_n_s32:37020083c1d321ac,S1-structural-plain,neon,vmovq_n_s32,broadcast,L2-traceable-lowering,not-independently-validated,passed,2,1,,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,04cd5cff593abe7e15448e465549d4f86658d0f34a41c5ca5d19ba831e41aa36,no
intrinsic:neon:vmovq_n_u32:3342543987c06460,S1-structural-plain,neon,vmovq_n_u32,broadcast,L2-traceable-lowering,not-independently-validated,passed,3,1,,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,cb53b1eb1a3c003493623409e42cc9998e7c393869f1880efb821f4f57055d83,no
intrinsic:neon:vreinterpret_u16_s8:013785366921195d,S1-structural-plain,neon,vreinterpret_u16_s8,bitcast,L2-traceable-lowering,not-independently-validated,passed,5,5,,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,8a53647528a324fc536f17ec37b874a74bdee1c141a553c6432c0e613f165e16,no
intrinsic:neon:vreinterpret_u16_u8:9dc3febff8a4fe67,S1-structural-plain,neon,vreinterpret_u16_u8,bitcast,L2-traceable-lowering,not-independently-validated,passed,1,1,,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,3dce496afcbfe9b616acfa26d6ed2ba8c6fcb7049e1c9264ebb6022dc3f5f6ab,no
intrinsic:neon:vreinterpret_u32_s8:214e620a67560b2e,S1-structural-plain,neon,vreinterpret_u32_s8,bitcast,L2-traceable-lowering,not-independently-validated,passed,5,5,,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,d80914939974558c3ca06cacfd8e4c02aa8f53d2723c4e75f8520208ca07fee4,no
intrinsic:neon:vreinterpret_u32_u16:527a6cb727216e98,S1-structural-plain,neon,vreinterpret_u32_u16,bitcast,L2-traceable-lowering,not-independently-validated,passed,1,1,,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,14ded5f99a3aff69c34d13be2cfa1d0f25624f492db13e2bf98fdeebba363197,no
intrinsic:neon:vreinterpret_u32_u8:6b8a048eb4a0b21c,S1-structural-plain,neon,vreinterpret_u32_u8,bitcast,L2-traceable-lowering,not-independently-validated,passed,1,1,,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,872d7865a03ac5417451b28b93149082c9072a39403e63e9b3bf8f00db0a0f31,no
intrinsic:neon:vreinterpretq_f32_u32:ced150bd10ca74a0,S1-structural-plain,neon,vreinterpretq_f32_u32,bitcast,L2-traceable-lowering,not-independently-validated,passed,5,2,,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,b2be30b8310a7e9f206fe0ec4f5fd5e3f30bde1e702df52084246eb63887081a,no
intrinsic:neon:vreinterpretq_s16_u16:8aef24ee424bc477,S1-structural-plain,neon,vreinterpretq_s16_u16,bitcast,L2-traceable-lowering,not-independently-validated,passed,6,2,,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,07a5f61549d4ddbf21e515b8dfcc70016538456cccef2804928f5c550eeb6948,no
intrinsic:neon:vreinterpretq_s32_f32:2cd2659eac58f991,S1-structural-plain,neon,vreinterpretq_s32_f32,bitcast,L2-traceable-lowering,not-independently-validated,passed,6,2,,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,cf59ab84cba4616a4453580aa1c55cd4f24f17d1eb0f541ca63ce71489eed055,no
intrinsic:neon:vreinterpretq_u16_s16:a7e891ffb1a88796,S1-structural-plain,neon,vreinterpretq_u16_s16,bitcast,L2-traceable-lowering,not-independently-validated,passed,2,1,,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,4684547a89dfc2fa7cc91508cdefb75648e3e936918ba157d6d7c2395ed5840d,no
intrinsic:neon:vreinterpretq_u32_f32:28a52ca0f4e39bd2,S1-structural-plain,neon,vreinterpretq_u32_f32,bitcast,L2-traceable-lowering,not-independently-validated,passed,20,1,,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,8eb128cf15cd65095477cd1e1593eeedc662decd4ac174634d500ce536e233f1,no
intrinsic:neon:vst1_f32:ad0241ade4926fdb,S1-structural-plain,neon,vst1_f32,store,L2-traceable-lowering,not-independently-validated,passed,12,12,,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,4cbcb2af537d18e682bc132e9fe97ec7f342d324439a7ff605c16cbd9ff7c9a1,no
intrinsic:neon:vst1_lane_f32:0d7385dd67f03980,S2-structural-immediate,neon,vst1_lane_f32,lane_store,L3-generator-mutation,generator-boundary-validated-only,passed,12,12,0,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,ee8b10c0d1db6955c9d9c7559a112e8f2f0689a600a9ffd5e88beb6e0b8b9529,no
intrinsic:neon:vst1_lane_s8:47ce1b8af1f141f5,S2-structural-immediate,neon,vst1_lane_s8,lane_store,L3-generator-mutation,generator-boundary-validated-only,passed,5,5,0,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,6a7b81955ce2c7cd2cbfb82d089088c73331b3d7bd2288a8586538f8c9ded301,no
intrinsic:neon:vst1_lane_u16:744182d13adcf78c,S2-structural-immediate,neon,vst1_lane_u16,lane_store,L3-generator-mutation,generator-boundary-validated-only,passed,7,7,0,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,b043542550804774a7b555241a5bd2f053494758ca3b526c171afd12b2033d3b,no
intrinsic:neon:vst1_lane_u32:19ade562f256fb36,S2-structural-immediate,neon,vst1_lane_u32,lane_store,L3-generator-mutation,generator-boundary-validated-only,passed,7,7,0,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,f7d1d3c0bdaa38204a5e95ec633b8b7398891ed5175e07d0b8d16806e5fc332f,no
intrinsic:neon:vst1_lane_u8:549b57cd68d9335d,S2-structural-immediate,neon,vst1_lane_u8,lane_store,L3-generator-mutation,generator-boundary-validated-only,passed,1,1,0,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,66d448ba4ca3cf3dec3d51c8c943f1b8cfaa9d2dca9a64f761c7b7d6edbe5b6f,no
intrinsic:neon:vst1_s8:5c2ff856d9c3b799,S1-structural-plain,neon,vst1_s8,store,L2-traceable-lowering,not-independently-validated,passed,5,5,,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,104c2294c58b94ae8f3c47f7aacc3c67829d07d26d104fbdf816cdd516ecd835,no
intrinsic:neon:vst1_u16:67fcbafb30a5de6c,S1-structural-plain,neon,vst1_u16,store,L2-traceable-lowering,not-independently-validated,passed,1,1,,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,9967f117f484fc1b325787443b2f87b0916cc54bf97d8591fe388d962f6be1e7,no
intrinsic:neon:vst1_u8:a62ceb8bb6a2205b,S1-structural-plain,neon,vst1_u8,store,L2-traceable-lowering,not-independently-validated,passed,1,1,,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,4ab703393a7cc5e6e1ff5ac43226055c3b9012e79882be56c7298752c6775d73,no
intrinsic:neon:vst1q_f32:22522d502967a1ae,S1-structural-plain,neon,vst1q_f32,store,L2-traceable-lowering,not-independently-validated,passed,16,12,,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,ac699dce830d8f8aaf9fb61a9fb8b3193d742d92d05deb4464d3c42fb22f2bf7,no
intrinsic:neon:vst1q_s8:6cf6c0440c47fdb6,S1-structural-plain,neon,vst1q_s8,store,L2-traceable-lowering,not-independently-validated,passed,5,2,,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,b07df94b5b99c7e8e006aaa1633e6f2c09d983b589694144ce76d838c822fa1b,no
intrinsic:neon:vst1q_u16:1ecda57d579b0fcc,S1-structural-plain,neon,vst1q_u16,store,L2-traceable-lowering,not-independently-validated,passed,1,1,,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,c97e8328d259ff62b00ef9e34cadf722b2227dad4002b09d076c7d80f1b806f0,no
intrinsic:rvv:__riscv_vle32_v_f32m8:18bc0ec588792246,S1-structural-plain,rvv,__riscv_vle32_v_f32m8,load,L3-generator-mutation,generator-boundary-validated-only,passed,17,11,,17,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,65ac5ce46470667597281738781eb742964391def68dbc519164e5a2cfe26ad4,no
intrinsic:rvv:__riscv_vle8_v_i8m2:b743717140cd585f,S1-structural-plain,rvv,__riscv_vle8_v_i8m2,load,L3-generator-mutation,generator-boundary-validated-only,passed,7,5,,7,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,3ad1eb6fab37647be66ab423c6a59b5eed0e25cbf1d4e45542bae5e216c64696,no
intrinsic:rvv:__riscv_vle8_v_i8m8:b87789104c26970e,S1-structural-plain,rvv,__riscv_vle8_v_i8m8,load,L3-generator-mutation,generator-boundary-validated-only,passed,1,1,,1,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,b5a57693aca9bde31fa54a144445fc74b6721414fea645afb00bf186013016cf,no
intrinsic:rvv:__riscv_vle8_v_u8m2:4bd47d6d51e6f33d,S1-structural-plain,rvv,__riscv_vle8_v_u8m2,load,L3-generator-mutation,generator-boundary-validated-only,passed,3,2,,3,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,e1519bfbe704f1fdac41abdfc91a81503711078177e89067c2da7febdf4b58e2,no
intrinsic:rvv:__riscv_vmv_v_x_i16m4:c845def9c186a669,S1-structural-plain,rvv,__riscv_vmv_v_x_i16m4,broadcast,L3-generator-mutation,generator-boundary-validated-only,passed,1,1,,1,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,8d5c40a6ccebb114598a2b17eb17de91b24a52f9cf336cf7a04756ab95394134,no
intrinsic:rvv:__riscv_vreinterpret_v_f32m8_i32m8:3e094f133b6e8fb2,S1-structural-plain,rvv,__riscv_vreinterpret_v_f32m8_i32m8,bitcast,L2-traceable-lowering,not-independently-validated,passed,1,1,,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,00082b9df869c85ffba94d7c01679ae3484275c5dc207661b5dda71ae79eb17d,no
intrinsic:rvv:__riscv_vreinterpret_v_f32m8_u32m8:99a7f24902fea135,S1-structural-plain,rvv,__riscv_vreinterpret_v_f32m8_u32m8,bitcast,L2-traceable-lowering,not-independently-validated,passed,4,2,,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,db3c6039a846992277035f6570771504bafa2d715d999fd7143ab598b3c49412,no
intrinsic:rvv:__riscv_vreinterpret_v_i16m4_u16m4:bb0d0f1f409c129d,S1-structural-plain,rvv,__riscv_vreinterpret_v_i16m4_u16m4,bitcast,L2-traceable-lowering,not-independently-validated,passed,1,1,,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,41e87c57b96d40753a1c8be806067ed18217fce8770a81da2f9ac9d094a7e416,no
intrinsic:rvv:__riscv_vreinterpret_v_u16m4_i16m4:a7e2523cd7e0f77e,S1-structural-plain,rvv,__riscv_vreinterpret_v_u16m4_i16m4,bitcast,L2-traceable-lowering,not-independently-validated,passed,3,2,,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,a77d045bf913b77dfb1717444f6b53bd83f266d90363500f48ce7c4a8e464132,no
intrinsic:rvv:__riscv_vreinterpret_v_u32m8_f32m8:07ea52d7154b56d5,S1-structural-plain,rvv,__riscv_vreinterpret_v_u32m8_f32m8,bitcast,L2-traceable-lowering,not-independently-validated,passed,2,2,,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,9e38d1ddc5278ecc69292262319120d030aabcb26f77b65c605ce0fdaaca6c16,no
intrinsic:rvv:__riscv_vse16_v_u16m4:613111ede4e9e019,S1-structural-plain,rvv,__riscv_vse16_v_u16m4,store,L3-generator-mutation,generator-boundary-validated-only,passed,1,1,,1,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,10e2e9a2b9001fa52556e48e9434be4ac3df9a975297cacfd737a17e008e5fb1,no
intrinsic:rvv:__riscv_vse32_v_f32m8:53d23aae8d2de69e,S1-structural-plain,rvv,__riscv_vse32_v_f32m8,store,L3-generator-mutation,generator-boundary-validated-only,passed,12,12,,12,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,b92c41b2af15e911d9eb78565194513fb161ac3c1c2209b499ade021110a0810,no
intrinsic:rvv:__riscv_vse8_v_i8m2:1003ddba74c9c720,S1-structural-plain,rvv,__riscv_vse8_v_i8m2,store,L3-generator-mutation,generator-boundary-validated-only,passed,4,4,,4,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,4e5c83d5ad5e051ec8b08d0233de33de2134b0c27187801df4431b8ec6eb9c8a,no
intrinsic:rvv:__riscv_vse8_v_i8m8:9d27fdb02b3f09a4,S1-structural-plain,rvv,__riscv_vse8_v_i8m8,store,L3-generator-mutation,generator-boundary-validated-only,passed,1,1,,1,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,2980c8cebb011c53ba3494440e9826f4b4de31bb4446224cf7ff2291200ecbf7,no
intrinsic:rvv:__riscv_vse8_v_u8m2:8adb7da1af987a7f,S1-structural-plain,rvv,__riscv_vse8_v_u8m2,store,L3-generator-mutation,generator-boundary-validated-only,passed,1,1,,1,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,ad0a1ce2441d77229ed98726bcbabdd1b385313f72deb2cdb093a2bbcafcd298,no
intrinsic:rvv:__riscv_vsetvl_e32m8:8646d4d736c771fa,S0-schedule-setvl,rvv,__riscv_vsetvl_e32m8,set_active_length,L3-generator-mutation,generator-boundary-validated-only,passed,11,11,,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,ec0d87b3eee35329b5c2d80168880a1c446fdb71f5866313a88782db3d79dc5a,no
intrinsic:rvv:__riscv_vsetvl_e8m2:07727cd6c1bd58f2,S0-schedule-setvl,rvv,__riscv_vsetvl_e8m2,set_active_length,L3-generator-mutation,generator-boundary-validated-only,passed,7,7,,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,91ed681a31a57e608774d09164c5eecb933eaa9a1a64d52a1831b84707820ff2,no
intrinsic:rvv:__riscv_vsetvl_e8m8:f17fd3bf993431f4,S0-schedule-setvl,rvv,__riscv_vsetvl_e8m8,set_active_length,L3-generator-mutation,generator-boundary-validated-only,passed,1,1,,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,3c1866c20a71786b9e7614594f82ca8c11775c70b034cc492fb07ac2d32008ea,no
